"%s x %s","%s x %s"
"Additional Information","Informacje dodatkowe"
"Availability","Dostępność"
"Customize %s","Dostosuj %s"
"Customize and Add to Cart","Dostosuj i dodaj do koszyka"
"Details","Szczegóły"
"Email to a Friend","Wyślij znajomemu"
"Go back to product detail","Wróć do szczegółów produktu"
"In stock","W magazynie"
"Out of stock","Brak w magazynie"
"Quick Overview","Krótki opis"
"SKU#%s","SKU#%s"
"Summary","Podsumowanie"
"This product is also part of bundle(s)","Produkt jest również częścią zestawu"
"Your Customization","Twoje zmiany"
