"%s is required.","%s jest wymagane."
"Action","Operacja"
"Add Catalog Event","Dodaj zdarzenie katalogu"
"Add Event...","Dodaj wydarzenie..."
"An error occurred while saving this event.","Wystąpił błąd podczas zapisywania zdarzenia."
"Back to Category","Powrót do kategorii"
"Block Custom Width","Niestandardowa szerokość bloku"
"Catalog","Katalog"
"Catalog Event Information","Informacje o zdarzeniu katalogu"
"Catalog Events","Zdarzenia katalogu"
"Catalog Events Carousel","Karuzela zdarzeń katalogu"
"Catalog Events Carousel Default Template","Domyślny szablon karuzeli zdarzeń katalogu"
"Categories","Kategorie"
"Category","Kategoria"
"Category ID","ID kategorii"
"Category Page","Strona kategorii"
"Closed","Zamknięty"
"Coming Soon","Wkrótce"
"Default Values","Wartości domyślne"
"Default value. Override in CMS using limit=""x"" variable. If empty, there will be no limitation.","Wartość domyślna. Można zastąpić ustawiając zmienną limit=""x"". Jeśli wartość jest pusta, brak ograniczenia."
"Default value. Override in CMS using scroll=""x"" variable.","Wartość domyślna. Można zastąpić ustawiając zmienną scroll= ""x""."
"Display Countdown Ticker On","Wyświetlanie odliczania"
"Edit","Edytuj"
"Edit Catalog Event","Edytuj zdarzenie katalogu"
"Edit Event...","Edycja zdarzenia..."
"Enable Catalog Event Widget on the Frontend","Włącz w sklepie widżet zdarzeń katalogu"
"Enable Catalog Events Functionality","Włącz funkcjonalność zdarzeń katalogu"
"End Date","Data zakończenia"
"End date should be greater than start date.","Data zakończenia powinna być późniejsza niż data rozpoczęcia."
"Ends On","Kończy się na"
"Event for selected category","Zdarzenie dla wybranej kategorii"
"Event has been deleted.","Zdarzenie zostało usunięte."
"Event has been saved.","Zdarzenie zostało zapisane."
"Events","Zdarzenia"
"Events to Scroll per Click in Event Slider Widget","Ilość zdarzeń przesuwanych po kliknięciu w widżet karuzeli zdarzeń"
"Frame Size","Rozmiar ramki"
"Go To Sale","Przejdź do sprzedaży"
"ID","ID"
"Image","Obrazek"
"Image was not uploaded.","Obraz nie została załadowany."
"List all open Catalog Events as a Paginated Carousel","Lista wszystkich otwartych zdarzeń katalogów jako karuzela"
"Lister Block","Blok listujący"
"Manage Catalog Events","Zarządzaj zdarzeniami katalogu"
"New Event","Nowe zdarzenie"
"Number of Events to be Displayed in Event Slider Widget","Liczba zdarzeń, które mają być wyświetlane w przypadku widżetu karuzeli"
"Number of Items to display at once","Liczba elementów wyświetlanych na raz"
"Number of Items to scroll per click","Liczba elementów przewijanym po kliknięciu"
"Open","Otwarty"
"Preview Sale","Podgląd sprzedaży"
"Product Page","Strona produktu"
"Sale Ends In","Sprzedaż kończy się"
"Sale was closed for this product.","Sprzedaż tego produktu została zakończona."
"Save and Continue Edit","Zapisz i kontynuuj edycję"
"Scroll","Przewijanie"
"Select Category","Wybierz kategorię"
"Some products are not salable anymore.","Niektóre produkty nie już w sprzedaży."
"Sort Order","Kolejność sortowania"
"Start Date","Data rozpoczęcia"
"Starts On","Zaczyna się"
"Status","Status"
"Upcoming","Nadchodzące"
"Use Default Value","Użyj wartości domyślnej"
"View Sale","Zobacz sprzedaż"
"Width in Pixels. If empty, will be determined automatically","Szerokość w pikselach. Jeśli puste, będzie ustalana automatycznie"
