"(Allow)","(Zezwalaj)"
"(Config)","(Konfiguracja)"
"(Deny)","(Zabroń)"
"-- Please Select --","-- Prosimy wybrać --"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red""> Ostrzeżenie!</strong> Domyślnie ta funkcja ogranicza wszystkie kategorie."
"A permission with the same scope already exists.","Uprawnienia o tym samym zakresie już istnieją."
"Add to Cart","Dodaj do koszyka"
"All Customer Groups","Wszystkie grupy klientów"
"All Websites","Wszystkie witryny"
"Allow","Zezwól"
"Allow Adding to Cart","Umożliwia dodawanie do koszyka"
"Allow Browsing Category","Umożliwia przeglądanie kategorii"
"Browsing Category","Przeglądanie kategorii"
"Catalog Permissions","Uprawnienia do katalogu"
"Category Permissions","Uprawnienia do kategorii"
"Category Permissions Section","Sekcja uprawnień kategorii"
"Customer Group","Grupa klienta"
"Customer Groups","Grupy klienta"
"Deny","Zabroń"
"Disallow Catalog Search By","Zablokuj przeszukiwanie katalogów względem"
"Display Product Prices","Wyświetlanie cen produktów"
"Enable","Włącz"
"Landing Page","Strona docelowa"
"New Permission","Nowe uprawnienie"
"No","Nie"
"No, Redirect to Landing Page","Nie, przekieruj do strony docelowej"
"Permission with the same scope","Uprawnienie o tym samym zakresie"
"Permissions do not depend on store views.","Uprawnienia nie zależą od widoku sklepu."
"Remove Permission","Usuń uprawnienie"
"The product ""%s"" cannot be added to cart.","Produkt ""%s"" nie może zostać dodany do koszyka."
"Use parent","Użyj nadrzędnego"
"Website","Witryna"
"Yes, for Everyone","Tak, dla wszystkich"
"Yes, for Specified Customer Groups","Tak, dla określonych grup klientów"
"You have no permissions to access this category","Nie masz uprawnień dostępu do tej kategorii"
"You have no permissions to access this product","Nie masz uprawnień dostępu do tego produktu"
