"Alpha Only","Tylko Alpha"
"Alphanumeric","Alfanumerycznie"
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Kod cechy jest niepoprawny. Prosimy o używanie jedynie liter (a-z), cyfr (0-9) lub podkreślnika (_) w tym polu, pierwszy znak powinien być literą."
"Current module XML block name is undefined","Nazwa bloku XML aktualnego modułu jest niezdefiniowana"
"Current module form model pathname is undefined","Nazwa ścieżki modelu formularza aktualnego modułu jest niezdefiniowana"
"Date","Data"
"Default EAV Form","Domyślny formularz EAV"
"Dropdown","Lista rozwijana"
"Email","E-mail"
"Escape HTML Entities","Zabezpieczaj elementy HTML"
"File (attachment)","Plik (załącznik)"
"Image File","Plik obrazu"
"Multiple Line","Wiele linii"
"Multiple Select","Wiielokrotny wybór"
"No","Nie"
"Normalize Date","Normalizuj datę"
"Numeric Only","Tylko numeryczne"
"Strip HTML Tags","Usuwanie elementów HTML"
"Text Area","Pole typu textarea"
"Text Field","Pole tekstowe"
"URL","URL"
"Use helper with defined EAV entity","Użyj pomocy ze zdefiniowaną jednostką EAV"
"Wrong values for minimum and maximum date validation rules.","Złe wartości dla reguł sprawdzania poprawności daty minimalnej i maksymalnej."
"Wrong values for minimum and maximum text length validation rules.","Złe wartości dla reguł sprawdzania minimalnej i maksymalnej długości tekstu."
"Yes","Tak"
"Yes/No","Tak/Nie"
