"%s order(s) have been archived.","%s zleceń zostało zarchiwizowanych."
"%s order(s) have been removed from archive.","%s zamówień zostało usuniętych z archiwum."
"Add","Dodaj"
"Archive","Archiwum"
"Archive Orders Purchased","Archiwum zamówień"
"Column not found","Kolumna nie znaleziona"
"Credit Memos","Faktury korygujące"
"Credit Memos Archive","Archiwum faktur korygujących"
"Enable Archiving","Włącz archiwizowanie"
"Go to Archive (%s orders)","Przejdź do archiwum (%s zamówień)"
"Invoices","Faktury"
"Invoices Archive","Archiwum faktur"
"Mass Add","Dodawanie masowe"
"Move to Archive","Przenieść do archiwum"
"Move to Order Managment","Przenieść do zarządzania zamówieniem"
"Move to Orders Management","Przenieść do zarządzania zamówieniami"
"Order Statuses to be Archive","Statusy zamówień zostaną zarchiwizowane"
"Orders","Zamówienia"
"Orders Archive","Archiwum zamówień"
"Orders, Invoices, Shipments, Credit Memos Archiving","Archiwizacja zamówień, faktur, wysyłek, faktur korygujących"
"Please specify order id to be archived.","Określ identyfikator zamówienia do zarchiwizowania."
"Please specify order id to be removed from archive.","Określ identyfikator zamówienia, które ma być usunięte z archiwum."
"Positioning column not found","Kolumna pozycjonowania nie została znaleziona"
"Restore from Archive","Przywróć z archiwum"
"Sales Archive","Archiwum sprzedaży"
"Selected order(s) cannot be archived.","Wybrane zlecenia nie mogą być archiwizowane."
"Shipments","Dostawy"
"Shipments Archive","Archiwum wysyłek"
"Table not found","Nie można odnaleźć tabeli"
"The order has been archived.","Zamówienie zostało zarchiwizowane."
"The order has been removed from the archive.","Zamówienie zostało usunięte z archiwum."
"There are %s orders in archive. All of them will be moved to regular table after archive is disabled.","W archiwum znajduje się %s zamówień. Wszystkie zostaną przeniesione do regularnej tabeli po zablokowaniu archiwizacji."
