"Authorization","Autoryzacja"
"Authorization Waiting from Ogone","Czekam na autoryzację przez Ogone"
"Authorization not known: A technical problem arose during authorization process, giving unpredictable result","Autoryzacja nie powiodła się: Podczas autoryzacji pojawił się problem, dając nieprzewidywalny wynik"
"Background Color of Ogone Template","Kolor tła dla szablonu Ogone"
"Button Background Color of the Ogone Template","Kolor tła przycisków dla szablonu Ogone"
"Button Text Color of the Ogone Template","Kolor tekstu dla przycisków szablonu Ogone"
"Can\'t detect Ogone payment action","Nie wykryto  płatności Ogone"
"Cancelled Ogone","Anulowane płatności Ogone"
"Debug","Debuguj"
"Declined Ogone","Odrzucone płatności Ogone"
"Declined Order on Ogone side.","Zamówienie odrzucone przez Ogone."
"Direct Sale","Sprzedaż bezpośrednia"
"E.g: ""Verdana"".","Np.: ""Verdana""."
"E.g: ""black"".","Np.: ""czarny""."
"E.g: ""white"".","Np.: ""biały""."
"Enabled","Włączone"
"Enabling this feature needs adjusting ""Technical information > Global security parameters"" on merchant administration.","Włączenie tej funkcji wymaga dostosowania ustawień „Informacje techniczne” > Ogólne parametry bezpieczeństwa” w panelu sprzedawcy."
"Exception not defined","Nieznany wyjątek"
"Font Family of the Ogone Template","Font dla szablonu Ogone"
"For production, replace ""test"" with ""prod"". Example: https://secure.ogone.com/ncol/prod/orderstandard.asp","Dla fazy produkcyjnej zmień „test” na „prod”. np. https://secure.ogone.com/ncol/prod/orderstandard.asp"
"Gateway URL","URL bramki"
"Hash All Parameters","Hashuj wszystkie parametry"
"Hashing Algorithm","Algorytm hashujący"
"Horizontally grouped logo with group name on left","Logo zgrupowane poziomo z nazwą grupy po lewej"
"Horizontally grouped logo with no group name","Logo zgrupowane poziomo bez nazwy grupy"
"If you choose ""No Operation"", Ogone will use default payment procedure setup in Ogone configuration.","Jeśli wybierzesz „brak operacji”, Ogone użyje danych domyślnych ze swojej konfiguracji."
"If you choose ""Ogone Template"", you will need to fill in all the following fields.","Jeśli wybierzesz „Szablon Ogone”, wypełnij poniższe pola."
"Layout of Payment Methods","Układ strony metod płatności"
"Logo of the Ogone Template","Logo dla szablonu Ogone"
"Magento","Magento"
"Ogone","Ogone"
"Ogone Default Operation","Domyślna operacja Ogone"
"Order can\'t save","Nie można zapisać zamówienia"
"PSPID","PSPID"
"Payment Action","Akcja płatności"
"Payment Template","Szablon płatności"
"Payment transaction has been declined.","Płatność została odrzucona."
"Payment uncertain: A technical problem arose during payment process, giving unpredictable result","Płatności niepewne: podczas procesu płatności powstał problem techniczny, dając nieprzewidywalne wyniki"
"Pending Ogone","Oczekiwanie na płatność Ogone"
"Please, wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds.","Za kilka sekund załaduje się strona do płatności Ogone."
"Processed Ogone Payment","Przetworzona płatność Ogone"
"Processed by Ogone","Przetworzone przez Ogone"
"Processing Ogone Payment","Przetwarzanie płatności Ogone"
"SHA-IN Pass Phrase","Hasło SHA-IN"
"SHA-OUT Pass Phrase","Hasło SHA-OUT"
"Start Ogone Processing","Rozpocznij przetwarzanie Ogone"
"Table Background Color of the Ogone Template","Tło dla tabel w szablonie Ogone"
"Table Text Color of the Ogone Template","Kolor tekstu dla tabel w szablonie Ogone"
"Text Color of the Ogone Template","Kolor tekstu w szablonie Ogone"
"The hash is not valid","Wartość hash nie jest prawidłowa"
"The order cannot be canceled for a system reason.","Nie można anulować zamówienia z powodu systemowego."
"The order cannot be saved for a system reason.","Nie można zapisać zamówienia z powodu systemowego."
"The order cannot be saved.","Nie można zapisać zamówienia."
"The order is not valid","Zamówienie nie jest prawidłowe"
"The order was canceled on ogone side.","Zamówienie zostało anulowane po stronie Ogone."
"Title","Tytuł"
"Title of the Ogone Template","Tytuł szablonu Ogone"
"To hash <strong>all parameters</strong>, select the following options in the ""Global security parameters"" fieldset: <ul><li>Each parameter followed by the pass phrase.</li><li>""Hash algorithm"" same as ""Hashing Algorithm"" below</li><li>UTF-8</li></ul>","Aby hashować <strong>wszystkie parametry</strong>, wybierz następujące opcje w ""Ogólnych parametrach bezpieczeństwa"": <ul><li>Każdy parametr zakończ hasłem dostępu. </li><li>""Algorytm hashujący"" ustaw tak jak poniżej/li><li>UTF-8</li></ul> 
"
"URL/filename of the logo.<br />The URL must be absolute and stored on a secure server.","URL/plik z logo. <br />URL musi być bezwzględny i przechowywany na bezpiecznym serwerze."
"Unknown exception","Nieznany wyjątek"
"Use in posting data from Magento to Ogone.<br/>Use in data checking by Ogone before the payment.","Wykorzystywane przy wysyłaniu danych z Magento do Ogone. <br/>Wykorzystywane przy sprawdzaniu danych przez Ogone przed płatnością."
"Use in posting data from Ogone to Magento.<br/>Use in feedback data checking by Magento.","Wykorzystywane przy wysyłaniu danych z Ogone do Magento. <br/>Wykorzystywane przy sprawdzaniu danych przez Magento."
"Verical list","Lista pionowa"
"Waiting Authorization","Oczekiwanie na autoryzację"
"You can arrange the layout/list of the payment methods on Ogone payment page.","Możesz ustawić wygląd metod płatności Ogone na  stronie płatności."
"You will be redirected to Ogone website when you place an order.","Zostaniesz przekierowany do strony Ogone, gdy złożysz zamówienie."
